relationship_id	identity	card	proposed_wording	supporting_identity_claims	supporting_sources	canonical_card_facts	relationship_evidence	limitation	why_wording_may_be_entailed	owner_decision
cardrel_wu_c46718dc	WU	Isperia, Supreme Judge	Isperia represents Azorius leadership, and her card rewards you with additional information when opponents attack you or your planeswalkers.	azorius_senate_claim_005	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_mtg_stories_the_gathering_storm_chapter_3_c2a81b82;src_mtg_stories_rallying_the_reluctant_d21b8009;src_mtg_stories_ashes_6ede4fea;src_mtg_stories_desperate_operatives_6c6a580b;src_mtg_stories_fblthp_e26059d7	data/scryfall/indexes/commander-index.json#oracle_id=c46718dc-24dc-4b77-b455-aa4c89570b8d	data/raw-factions/azorius_senate/azorius_senate.profile.json#/commander_compass/native_fit_commanders/0: Directly represents the guild's leadership and punishes those who dare attack the law (you).	You prefer a proactive, aggressive strategy rather than reactive defense.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE_AFTER_REVISION
cardrel_wu_1f8d4d5f	WU	Grand Arbiter Augustin IV	Grand Arbiter makes your white and blue spells cost less while making every opponent's spell cost more.	azorius_senate_claim_001;azorius_senate_claim_002;azorius_senate_claim_006;azorius_senate_claim_007	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=1f8d4d5f-e82f-45f3-823e-1bb6b536eb18	data/raw-factions/azorius_senate/azorius_senate.profile.json#/commander_compass/advanced_complexity_commanders/0: The ultimate expression of Azorius tax-based gameplay; he slows the game down to a crawl.	High salt score on EDHREC. Use with caution. Your playgroup dislikes 'Stax' or games that take 3+ hours.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ub_8027a610	UB	Lazav, Dimir Mastermind	When an opponent's creature card reaches their graveyard, Lazav can copy it while keeping his name, legendary status, hexproof, and the ability to copy again.	house_dimir_claim_001;house_dimir_claim_002;house_dimir_claim_004;house_dimir_claim_0017	src_wotc_flavorful_guide_guilds_ravnica_2018;src_wotc_guilds_ravnica_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=8027a610-613e-4640-9840-c8778694f312	data/raw-factions/house_dimir/house_dimir.profile.json#/commander_compass/native_fit_commanders/0: Auxiliary product fit for players who want a Lazav-led Dimir deck; the canonical proof is Lazav as guildmaster, not the deck mechanics.	Commander/card/product material remains auxiliary and is not authoritative Dimir semantic proof. Skip if you want a transparent table plan or a commander whose appeal does not depend on opponents' graveyards.	The draft narrows the internal Commander guidance to the direct native figure relationship stated by the cited substantive claim. It deliberately makes no gameplay, player-motivation, or personality inference.	APPROVE
cardrel_br_143a269a	BR	Rakdos, Lord of Riots	Rakdos is the native demon-headliner choice: opponents must lose life before the show begins, then life-loss discounts enormous creatures.	cult_of_rakdos_claim_001;cult_of_rakdos_claim_002;cult_of_rakdos_claim_003;cult_of_rakdos_claim_004;cult_of_rakdos_claim_005;cult_of_rakdos_claim_006	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=143a269a-b9ee-48ba-bd7b-4aa46eb36778	data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json#/commander_compass/native_fit_commanders/0: Rakdos is the native demon-headliner choice: opponents must lose life before the show begins, then life-loss discounts enormous creatures.	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Rakdos semantic proof. Skip if you want consistent early casting, low variance, or a commander that avoids big threat perception.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_br_03a4b997	BR	Rakdos, the Showstopper	This is a pure flavor-forward Rakdos performance: the demon arrives, the stage erupts, and survival becomes a coin-flip spectacle.	cult_of_rakdos_claim_001;cult_of_rakdos_claim_002;cult_of_rakdos_claim_003;cult_of_rakdos_claim_004;cult_of_rakdos_claim_005;cult_of_rakdos_claim_006	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=03a4b997-4738-41a9-933f-e1f765e3a75a	data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json#/commander_compass/iconic_lore_forward_commanders/0: This is a pure flavor-forward Rakdos performance: the demon arrives, the stage erupts, and survival becomes a coin-flip spectacle.	High-variance by design. Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Rakdos semantic proof. Skip if you want reliability, low variance, or table-safe board states.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_rg_b7505737	RG	Borborygmos Enraged	Borborygmos turns combat damage into lands in hand, then lets you discard those lands to deal 3 damage to any target.	claim_gruul_clans_key_figure_0012;claim_gruul_clans_key_figure_0013;claim_gruul_clans_key_figure_0035;claim_gruul_clans_key_figure_0036;claim_gruul_clans_key_figure_0046	src_gruul_clans_0002;src_gruul_clans_0003;src_gruul_clans_0009	data/scryfall/indexes/commander-index.json#oracle_id=b7505737-1fc8-4ee8-8b1d-5dde73b6a76d	data/raw-factions/gruul_clans/gruul_clans.profile.json#/commander_compass/native_fit_commanders/0: A Burning-Tree-linked Gruul figure whose lands-matter damage gameplay can echo direct Rubblebelt force as auxiliary Commander texture.	You don't want to play an 8-mana commander.	The draft narrows the internal Commander guidance to the direct native figure relationship stated by the cited substantive claim. It deliberately makes no gameplay, player-motivation, or personality inference.	APPROVE
cardrel_rg_ebf3fd80	RG	Nikya of the Old Ways	She forces you to abandon 'civilized' noncreature spells in exchange for massive mana for monsters.	claim_gruul_clans_key_figure_0023;claim_gruul_clans_structure_0021;claim_gruul_clans_philosophy_0022	src_gruul_clans_0002	data/scryfall/indexes/commander-index.json#oracle_id=ebf3fd80-9574-489b-9428-f4251834bdc4	data/raw-factions/gruul_clans/gruul_clans.profile.json#/commander_compass/budget_friendly_commanders/0: She forces you to abandon 'civilized' noncreature spells in exchange for massive mana for monsters.	Requires a very specific deck composition. You like playing instants, sorceries, or artifacts.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_rg_6ed13a89	RG	Ruric Thar, the Unbowed	Ruric Thar must attack when able and deals 6 damage to any player who casts a noncreature spell.	claim_gruul_clans_key_figure_0016;claim_gruul_clans_structure_0017	src_gruul_clans_0002	data/scryfall/indexes/commander-index.json#oracle_id=6ed13a89-4284-4c01-8099-75e2d68c8c63	data/raw-factions/gruul_clans/gruul_clans.profile.json#/commander_compass/iconic_lore_forward_commanders/0: A severe Gruul pressure piece against noncreature spell plans; creature-first tables punish players who try to solve everything with spells.	You want to play a deck with more than 5-10 noncreature spells.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_wg_e94ef397	WG	Trostani, Selesnya's Voice	Whenever another creature you control enters, you gain life equal to its toughness; Trostani can also populate a creature token you control.	selesnya_conclave_claim_005;selesnya_conclave_claim_006;selesnya_conclave_claim_007;selesnya_conclave_claim_0018;selesnya_conclave_claim_0020	src_wotc_flavorful_guide_guilds_ravnica_2018;src_wotc_guilds_ravnica_mechanics_2018;src_wotc_guilds_ravnica_prerelease_primer_2018	data/scryfall/indexes/commander-index.json#oracle_id=e94ef397-f5c5-4b8d-ae27-528352fa1d1e	data/raw-factions/selesnya_conclave/selesnya_conclave.profile.json#/commander_compass/native_fit_commanders/0: Trostani has source-backed Selesnya leadership context, while her token/populate/lifegain card play is auxiliary Commander texture rather than independent lore proof.	Skip if you dislike token bookkeeping, longer board-development games, or populate needing good token targets.	The draft narrows the internal Commander guidance to the direct native figure relationship stated by the cited substantive claim. It deliberately makes no gameplay, player-motivation, or personality inference.	APPROVE
cardrel_wb_644eeefd	WB	Teysa Karlov	Teysa Karlov makes your permanents' death triggers happen twice, while giving your creature tokens vigilance and lifelink.	orzhov_syndicate_claim_005;orzhov_syndicate_claim_006;orzhov_syndicate_claim_007;orzhov_syndicate_claim_0018;orzhov_syndicate_claim_0020	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=644eeefd-e684-4ca8-8aef-a892ca130c07	data/raw-factions/orzhov_syndicate/orzhov_syndicate.profile.json#/commander_compass/native_fit_commanders/0: Teysa is the clearest native Orzhov product fit: she doubles death-trigger value and turns token bodies into a more threatening spiritual workforce.	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Orzhov semantic proof. Skip if you dislike sacrifice loops, death-trigger stacks, or incremental value engines.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
